id,name,description,base_prompt,variables,example_values,category
1,Fantasy Animal,A template for creating charming magical creatures.,"a charming [animal] with [magical_feature], in the style of [art_style]","animal, magical_feature, art_style","animal: a red panda, magical_feature: glowing runes, art_style: Studio Ghibli",Character
2,Cyberpunk Portrait,A template for neon-lit character portraits.,"cyberpunk portrait of [subject] with [cybernetics], in [location], [lighting]","subject, cybernetics, location, lighting","subject: a hacker, cybernetics: a glowing optical implant, location: a crowded ramen bar, lighting: cinematic neon",Portrait
3,Epic Fantasy Landscape,"A template for vast, awe-inspiring landscapes.","epic landscape of [location], with [weather], during [time_of_day], fantasy art","location, weather, time_of_day","location: the floating mountains, weather: a meteor shower, time_of_day: twilight",Landscape
4,Cozy Interior,"A template for warm, inviting interior scenes.","cozy interior of a [room_type], [architecture_style] style, [lighting], [time_of_day]","room_type, architecture_style, lighting, time_of_day","room_type: living room, architecture_style: Scandinavian, lighting: soft ambient, time_of_day: rainy evening",Interior
5,Sci-Fi Vehicle,A template for designing futuristic vehicles.,"sci-fi [vehicle_type], [material] body, [propulsion_type] propulsion, in [environment]","vehicle_type, material, propulsion_type, environment","vehicle_type: hover car, material: carbon fiber, propulsion_type: anti-gravity, environment: a futuristic highway",Object
6,Character Concept,A template for character design sheets.,"character concept of a [character_description], [outfit], [pose], [style]","character_description, outfit, pose, style","character_description: young elf archer, outfit: forest camouflage, pose: aiming a bow, style: concept art",Character
7,Product Shot,"A template for clean, professional product photography.","product photography of a [product], [product_type], [lighting], professional studio shot","product, product_type, lighting","product: a ceramic mug, product_type: kitchenware, lighting: softbox lighting",Object
8,Historical Portrait,A template for portraits from specific historical eras.,"portrait of a [figure_description], [profession], from the [era], [setting]","figure_description, profession, era, setting","figure_description: a noblewoman, profession: queen, era: Renaissance, setting: a castle hall",Portrait
9,Abstract Concept,A template for visualizing abstract ideas.,"abstract art representing [concept], [color_palette], [shapes], [mood]","concept, color_palette, shapes, mood","concept: innovation, color_palette: blue and silver, shapes: geometric, mood: futuristic",Style
10,Post-Apocalyptic Scene,"A template for desolate, abandoned environments.","post-apocalyptic scene of [location], [condition], [weather], [time_of_day]","location, condition, weather, time_of_day","location: a city street, condition: overgrown, weather: hazy, time_of_day: golden hour",Landscape
11,Magical Artifact,A template for mystical objects and items.,"magical [artifact_type], made of [material], with a [magical_effect], [style]","artifact_type, material, magical_effect, style","artifact_type: an ancient amulet, material: enchanted gold, magical_effect: a glowing aura, style: intricate detailing",Object
12,Urban Sketch,"A template for loose, artistic cityscapes.","urban sketch of [city_element], [drawing_style], [medium], [time_of_day]","city_element, drawing_style, medium, time_of_day","city_element: a street cafe, drawing_style: watercolor, medium: ink and wash, time_of_day: morning",Style
13,Gourmet Food,A template for appetizing food photography.,"gourmet food photography of [dish], [cuisine], [garnish], [lighting]","dish, cuisine, garnish, lighting","dish: chocolate lava cake, cuisine: French pastry, garnish: raspberry coulis, lighting: warm and soft",Object
14,Mythological Scene,A template for scenes from myths and legends.,"mythological scene of [mythological_being] and [creature], [action], [setting]","mythological_being, creature, action, setting","mythological_being: Zeus, creature: a cyclops, action: battling with lightning, setting: Mount Olympus",Style
15,Steampunk Machine,A template for intricate steampunk devices.,"steampunk [device_type], made of [material], with [mechanisms], [purpose]","device_type, material, mechanisms, purpose","device_type: a flying machine, material: brass and copper, mechanisms: gears and steam, purpose: personal transportation",Object
16,Album Cover,A template for music album artwork.,"album cover for a [genre] album, [mood], [art_style], [era]","genre, mood, art_style, era","genre: synthwave, mood: nostalgic, art_style: retro vaporwave, era: 1980s",Style
17,Botanical Illustration,A template for detailed plant and flower images.,"botanical illustration of [plant], [season], [style], [lighting]","plant, season, style, lighting","plant: a rare orchid, season: spring, style: scientific illustration, lighting: soft natural light",Object
18,Underwater Scene,A template for aquatic and oceanic environments.,"underwater scene of [marine_environment], [marine_life], [lighting], [perspective]","marine_environment, marine_life, lighting, perspective","marine_environment: a coral reef, marine_life: tropical fish, lighting: sunbeams filtering down, perspective: wide angle",Landscape
19,Desert Landscape,"A template for arid, sandy environments.","desert landscape of [desert_feature], [time_of_day], [weather], [view]","desert_feature, time_of_day, weather, view","desert_feature: sand dunes, time_of_day: sunset, weather: clear, view: vast expanse",Landscape
20,Movie Poster,A template for cinematic movie poster designs.,"movie poster for a [film_genre] film, [mood], [composition], [title_style]","film_genre, mood, composition, title_style","film_genre: cyberpunk thriller, mood: dark and suspenseful, composition: low-angle shot, title_style: neon typography",Style
